#"Temp","n_e-","n_N","n_N+","n_O","n_O+","n_NO","n_N2","n_N2+","n_O2","n_O2+","n_NO+","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
#nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00000e+00,2.55000e-02,3.57211e-04,0.00000e+00
3.02458e+04,2.35158e+18,1.21453e+20,2.72249e+17,5.85699e+19,4.11680e+17,2.60113e+17,1.55814e+20,1.41482e+18,2.37141e+19,1.08355e+17,1.44478e+17,1,9.76656e-04,2.55000e-02,1.33387e-03,0.00000e+00
2.98947e+04,2.26321e+18,1.23152e+20,3.97757e+17,6.16605e+19,3.29057e+17,3.81193e+17,1.66468e+20,1.19783e+18,2.55044e+19,1.43542e+17,1.95024e+17,1,1.95331e-03,2.55000e-02,2.31052e-03,0.00000e+00
2.87582e+04,2.22920e+18,1.26591e+20,3.61815e+17,6.44208e+19,3.61544e+17,5.19406e+17,1.83994e+20,1.22517e+18,2.90063e+19,1.33375e+17,1.47304e+17,1,2.92997e-03,2.55000e-02,3.28718e-03,0.00000e+00
2.70923e+04,2.19757e+18,1.31846e+20,3.29083e+17,6.84784e+19,3.86045e+17,6.86068e+17,2.19982e+20,1.22595e+18,3.86614e+19,1.33797e+17,1.22692e+17,1,3.90662e-03,2.55000e-02,4.26384e-03,0.00000e+00
2.42498e+04,2.17121e+18,1.41139e+20,3.03485e+17,7.54187e+19,3.92804e+17,9.15951e+17,2.96995e+20,1.16774e+18,6.19900e+19,1.57750e+17,1.49429e+17,1,4.88328e-03,2.55000e-02,5.24049e-03,0.00000e+00
2.13649e+04,2.22506e+18,1.48538e+20,2.99675e+17,8.23616e+19,3.75123e+17,1.13242e+18,3.87019e+20,1.21735e+18,8.62480e+19,1.81342e+17,1.51562e+17,1,5.85994e-03,2.55000e-02,6.21715e-03,0.00000e+00
1.84418e+04,2.35083e+18,1.54239e+20,3.15401e+17,8.93070e+19,3.35525e+17,1.33685e+18,4.88709e+20,1.36366e+18,1.11339e+20,2.04609e+17,1.31632e+17,1,6.83659e-03,2.55000e-02,7.19380e-03,0.00000e+00
1.64861e+04,2.40580e+18,1.59563e+20,3.17577e+17,9.52646e+19,3.88328e+17,1.57575e+18,5.88896e+20,1.36164e+18,1.34683e+20,1.98817e+17,1.39433e+17,1,7.81325e-03,2.55000e-02,8.17046e-03,0.00000e+00
1.48675e+04,2.43609e+18,1.64756e+20,3.15029e+17,1.00878e+20,4.73339e+17,1.82668e+18,6.88560e+20,1.30793e+18,1.57416e+20,1.82896e+17,1.56901e+17,1,8.78991e-03,2.55000e-02,9.14712e-03,0.00000e+00
1.39053e+04,2.25992e+18,1.63544e+20,2.97151e+17,1.02160e+20,3.93976e+17,2.02989e+18,7.77386e+20,1.26599e+18,1.78769e+20,1.43543e+17,1.59261e+17,1,9.76656e-03,2.55000e-02,1.01238e-02,0.00000e+00
1.30455e+04,2.08000e+18,1.60777e+20,2.76897e+17,1.02421e+20,3.14917e+17,2.17014e+18,8.62754e+20,1.22637e+18,1.99385e+20,1.07495e+17,1.54320e+17,1,1.07432e-02,2.55000e-02,1.11004e-02,0.00000e+00
1.25345e+04,1.92786e+18,1.51930e+20,2.48584e+17,9.87113e+19,2.73865e+17,2.01716e+18,9.33840e+20,1.19530e+18,2.16755e+20,9.26001e+16,1.17512e+17,1,1.17199e-02,2.55000e-02,1.20771e-02,0.00000e+00
