%"Number_of_species_1","Number_Density_for_species_1","Translational_Temperature","Rotational_Temperature","Vibrational_Temperature","Velocity_for_species_1:0","Velocity_for_species_1:1","Velocity_for_species_1:2","IntegrationTime","Vorticity:0","Vorticity:1","Vorticity:2","Rotation","AngularVelocity","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
1.28110e+02,1.84991e+19,3.41292e+03,6.77723e+02,2.95255e+02,6.87934e+03,3.17867e+02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.72803e-11,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.00000e+00,2.00000e-01,9.20000e-01,0.00000e+00
1.28440e+02,1.85467e+19,3.62626e+03,7.13989e+02,3.01962e+02,6.86285e+03,3.49326e+02,0.00000e+00,2.70201e-06,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-0.00000e+00,-1.00000e+00,2.18586e-01,9.20902e-01,0.00000e+00
1.28480e+02,1.85525e+19,3.23419e+03,6.32788e+02,2.78635e+02,6.90585e+03,3.15882e+02,0.00000e+00,5.15925e-06,0.00000e+00,0.00000e+00,8.64045e-12,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.00000e+00,2.33626e-01,9.21598e-01,0.00000e+00
1.29340e+02,1.86767e+19,3.42005e+03,6.88762e+02,2.96771e+02,6.87506e+03,3.35930e+02,0.00000e+00,7.85094e-06,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.00000e+00,2.52212e-01,9.22500e-01,0.00000e+00
1.29340e+02,1.86767e+19,3.42005e+03,6.88762e+02,2.96771e+02,6.87506e+03,3.35930e+02,0.00000e+00,7.90501e-06,0.00000e+00,0.00000e+00,-1.29607e-11,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.00000e+00,2.62298e-01,9.22993e-01,0.00000e+00
1.29340e+02,1.86767e+19,3.42005e+03,6.88762e+02,2.96771e+02,6.87506e+03,3.35930e+02,0.00000e+00,7.95908e-06,0.00000e+00,0.00000e+00,-1.35007e-11,0.00000e+00,0.00000e+00,0.00000e+00,-0.00000e+00,-1.00000e+00,2.62669e-01,9.23011e-01,0.00000e+00
1.29340e+02,1.86767e+19,3.42005e+03,6.88762e+02,2.96771e+02,6.87506e+03,3.35930e+02,0.00000e+00,8.01315e-06,0.00000e+00,0.00000e+00,1.63358e-11,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.00000e+00,2.63041e-01,9.23030e-01,0.00000e+00
1.32145e+02,1.90817e+19,3.64730e+03,7.12454e+02,3.12066e+02,6.85828e+03,3.73632e+02,0.00000e+00,8.06721e-06,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.00000e+00,2.63413e-01,9.23049e-01,0.00000e+00
1.32145e+02,1.90817e+19,3.64730e+03,7.12454e+02,3.12066e+02,6.85828e+03,3.73632e+02,0.00000e+00,1.07764e-05,0.00000e+00,0.00000e+00,8.64045e-12,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.00000e+00,2.81993e-01,9.24061e-01,0.00000e+00
1.32915e+02,1.91929e+19,3.65448e+03,7.63040e+02,3.21996e+02,6.85913e+03,3.86002e+02,0.00000e+00,1.34856e-05,0.00000e+00,0.00000e+00,-1.72809e-11,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.00000e+00,3.00573e-01,9.25090e-01,0.00000e+00
1.32860e+02,1.91850e+19,3.82777e+03,8.20735e+02,3.44548e+02,6.82914e+03,4.19022e+02,0.00000e+00,1.61941e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.00000e+00,3.19149e-01,9.26163e-01,0.00000e+00
1.32860e+02,1.91850e+19,3.82777e+03,8.20735e+02,3.44548e+02,6.82914e+03,4.19022e+02,0.00000e+00,1.89138e-05,0.00000e+00,0.00000e+00,-8.64045e-12,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.00000e+00,3.37722e-01,9.27302e-01,0.00000e+00
1.34715e+02,1.94528e+19,3.92937e+03,8.54547e+02,3.55423e+02,6.81242e+03,4.39434e+02,0.00000e+00,2.16334e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.00000e+00,3.56292e-01,9.28494e-01,0.00000e+00
1.35915e+02,1.96261e+19,4.03892e+03,8.66442e+02,3.64929e+02,6.79954e+03,4.52740e+02,0.00000e+00,2.42237e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.00000e+00,3.74860e-01,9.29703e-01,0.00000e+00
1.35915e+02,1.96261e+19,4.03892e+03,8.66442e+02,3.64929e+02,6.79954e+03,4.52740e+02,0.00000e+00,2.69543e-05,0.00000e+00,0.00000e+00,-4.32022e-12,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.00000e+00,3.93427e-01,9.30939e-01,0.00000e+00
1.36695e+02,1.97388e+19,4.13240e+03,9.17487e+02,3.70972e+02,6.78719e+03,4.89006e+02,0.00000e+00,2.96849e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.00000e+00,4.11987e-01,9.32267e-01,0.00000e+00
1.39060e+02,2.00803e+19,4.25837e+03,9.77090e+02,3.63195e+02,6.75631e+03,5.11878e+02,0.00000e+00,3.21518e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.00000e+00,4.30545e-01,9.33638e-01,0.00000e+00
1.39060e+02,2.00803e+19,4.25837e+03,9.77090e+02,3.63195e+02,6.75631e+03,5.11878e+02,0.00000e+00,3.22068e-05,0.00000e+00,0.00000e+00,1.14756e-11,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.00000e+00,4.47284e-01,9.34906e-01,0.00000e+00
1.40525e+02,2.02918e+19,4.37080e+03,1.03235e+03,3.76577e+02,6.74417e+03,5.44634e+02,0.00000e+00,3.22617e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.00000e+00,4.47655e-01,9.34936e-01,0.00000e+00
1.40525e+02,2.02918e+19,4.37080e+03,1.03235e+03,3.76577e+02,6.74417e+03,5.44634e+02,0.00000e+00,3.23167e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.00000e+00,4.48026e-01,9.34966e-01,0.00000e+00
