#"Temp","n_N","n_O","n_NO","n_N2","n_O2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.00100e+03,0.00000e+00,0.00000e+00,0.00000e+00,1.64899e+22,4.38338e+21,1,0.00000e+00,1.00000e+02,0.00000e+00,0.00000e+00
1.00067e+03,0.00000e+00,0.00000e+00,0.00000e+00,1.64899e+22,4.38338e+21,1,5.00000e-02,1.00000e+02,5.00000e-02,0.00000e+00
1.00038e+03,0.00000e+00,0.00000e+00,0.00000e+00,1.64899e+22,4.38338e+21,1,1.00000e-01,1.00000e+02,1.00000e-01,0.00000e+00
1.00020e+03,0.00000e+00,0.00000e+00,0.00000e+00,1.64899e+22,4.38338e+21,1,1.50000e-01,1.00000e+02,1.50000e-01,0.00000e+00
1.00009e+03,0.00000e+00,0.00000e+00,0.00000e+00,1.64899e+22,4.38338e+21,1,2.00000e-01,1.00000e+02,2.00000e-01,0.00000e+00
1.00003e+03,0.00000e+00,0.00000e+00,0.00000e+00,1.64899e+22,4.38338e+21,1,2.50000e-01,1.00000e+02,2.50000e-01,0.00000e+00
1.00001e+03,0.00000e+00,0.00000e+00,0.00000e+00,1.64899e+22,4.38338e+21,1,3.00000e-01,1.00000e+02,3.00000e-01,0.00000e+00
1.00000e+03,0.00000e+00,0.00000e+00,0.00000e+00,1.64899e+22,4.38338e+21,1,3.50000e-01,1.00000e+02,3.50000e-01,0.00000e+00
1.00000e+03,0.00000e+00,0.00000e+00,0.00000e+00,1.64899e+22,4.38338e+21,1,4.00000e-01,1.00000e+02,4.00000e-01,0.00000e+00
1.00000e+03,0.00000e+00,0.00000e+00,0.00000e+00,1.64899e+22,4.38338e+21,1,4.50000e-01,1.00000e+02,4.50000e-01,0.00000e+00
1.00000e+03,0.00000e+00,0.00000e+00,0.00000e+00,1.64899e+22,4.38338e+21,1,5.00000e-01,1.00000e+02,5.00000e-01,0.00000e+00
1.00000e+03,0.00000e+00,0.00000e+00,0.00000e+00,1.64899e+22,4.38338e+21,1,5.50000e-01,1.00000e+02,5.50000e-01,0.00000e+00
1.00000e+03,0.00000e+00,0.00000e+00,0.00000e+00,1.64899e+22,4.38338e+21,1,6.00000e-01,1.00000e+02,6.00000e-01,0.00000e+00
1.00000e+03,0.00000e+00,0.00000e+00,0.00000e+00,1.64899e+22,4.38338e+21,1,6.50000e-01,1.00000e+02,6.50000e-01,0.00000e+00
1.00000e+03,0.00000e+00,0.00000e+00,0.00000e+00,1.64899e+22,4.38338e+21,1,7.00000e-01,1.00000e+02,7.00000e-01,0.00000e+00
1.00000e+03,0.00000e+00,0.00000e+00,0.00000e+00,1.64899e+22,4.38338e+21,1,7.50000e-01,1.00000e+02,7.50000e-01,0.00000e+00
1.00000e+03,0.00000e+00,0.00000e+00,0.00000e+00,1.64899e+22,4.38338e+21,1,8.00000e-01,1.00000e+02,8.00000e-01,0.00000e+00
1.00000e+03,0.00000e+00,0.00000e+00,0.00000e+00,1.64899e+22,4.38338e+21,1,8.50000e-01,1.00000e+02,8.50000e-01,0.00000e+00
1.00000e+03,0.00000e+00,0.00000e+00,0.00000e+00,1.64899e+22,4.38338e+21,1,9.00000e-01,1.00000e+02,9.00000e-01,0.00000e+00
1.00000e+03,0.00000e+00,0.00000e+00,0.00000e+00,1.64899e+22,4.38338e+21,1,9.50000e-01,1.00000e+02,9.50000e-01,0.00000e+00
1.00000e+03,0.00000e+00,0.00000e+00,0.00000e+00,1.64899e+22,4.38338e+21,1,1.00000e+00,1.00000e+02,1.00000e+00,0.00000e+00
