#"Temp","n_e-","n_N","n_N+","n_O","n_O+","n_NO","n_N2","n_N2+","n_O2","n_O2+","n_NO+","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
#nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00000e+00,3.40000e-01,3.57211e-04,0.00000e+00
4.78825e+03,2.90105e+17,2.70409e+19,3.22375e+16,2.08902e+19,3.42422e+16,2.39645e+18,2.69708e+20,1.89404e+17,6.20540e+19,2.33153e+16,1.09119e+16,1,9.76656e-04,3.40000e-01,1.33387e-03,0.00000e+00
4.83768e+03,2.89991e+17,2.70714e+19,3.23234e+16,2.09165e+19,3.43497e+16,2.40004e+18,2.70426e+20,1.89039e+17,6.22331e+19,2.33639e+16,1.09190e+16,1,1.95331e-03,3.40000e-01,2.31052e-03,0.00000e+00
4.83178e+03,2.89082e+17,2.70458e+19,3.23644e+16,2.09007e+19,3.44169e+16,2.39905e+18,2.70769e+20,1.88028e+17,6.23322e+19,2.33737e+16,1.09008e+16,1,2.92997e-03,3.40000e-01,3.28718e-03,0.00000e+00
4.78411e+03,2.89794e+17,2.72045e+19,3.26657e+16,2.10293e+19,3.47745e+16,2.41507e+18,2.73296e+20,1.87843e+17,6.29453e+19,2.35603e+16,1.09519e+16,1,3.90662e-03,3.40000e-01,4.26384e-03,0.00000e+00
4.73435e+03,2.90627e+17,2.73864e+19,3.30097e+16,2.11767e+19,3.51829e+16,2.43340e+18,2.76191e+20,1.87652e+17,6.36478e+19,2.37728e+16,1.10103e+16,1,4.88328e-03,3.40000e-01,5.24049e-03,0.00000e+00
4.67610e+03,2.91952e+17,2.76622e+19,3.35265e+16,2.13996e+19,3.57979e+16,2.46110e+18,2.80582e+20,1.87439e+17,6.47132e+19,2.40907e+16,1.10978e+16,1,5.85994e-03,3.40000e-01,6.21715e-03,0.00000e+00
4.61784e+03,2.93277e+17,2.79380e+19,3.40433e+16,2.16225e+19,3.64128e+16,2.48881e+18,2.84974e+20,1.87226e+17,6.57786e+19,2.44085e+16,1.11854e+16,1,6.83659e-03,3.40000e-01,7.19380e-03,0.00000e+00
4.55652e+03,2.94100e+17,2.81885e+19,3.45581e+16,2.18272e+19,3.70390e+16,2.51478e+18,2.89434e+20,1.86531e+17,6.68704e+19,2.47128e+16,1.12579e+16,1,7.81325e-03,3.40000e-01,8.17046e-03,0.00000e+00
4.48816e+03,2.93774e+17,2.83810e+19,3.50681e+16,2.19901e+19,3.76909e+16,2.53676e+18,2.94052e+20,1.84732e+17,6.80228e+19,2.49859e+16,1.12956e+16,1,8.78991e-03,3.40000e-01,9.14712e-03,0.00000e+00
4.41980e+03,2.93447e+17,2.85735e+19,3.55782e+16,2.21530e+19,3.83428e+16,2.55875e+18,2.98670e+20,1.82932e+17,6.91753e+19,2.52590e+16,1.13334e+16,1,9.76656e-03,3.40000e-01,1.01238e-02,0.00000e+00
4.35145e+03,2.93120e+17,2.87660e+19,3.60883e+16,2.23160e+19,3.89947e+16,2.58073e+18,3.03287e+20,1.81132e+17,7.03277e+19,2.55320e+16,1.13711e+16,1,1.07432e-02,3.40000e-01,1.11004e-02,0.00000e+00
4.24398e+03,2.93138e+17,2.90716e+19,3.68458e+16,2.25705e+19,3.99794e+16,2.61476e+18,3.10688e+20,1.78968e+17,7.21746e+19,2.59173e+16,1.14262e+16,1,1.17199e-02,3.40000e-01,1.20771e-02,0.00000e+00
4.13619e+03,2.93158e+17,2.93782e+19,3.76055e+16,2.28257e+19,4.09668e+16,2.64888e+18,3.18111e+20,1.76800e+17,7.40273e+19,2.63034e+16,1.14815e+16,1,1.26965e-02,3.40000e-01,1.30537e-02,0.00000e+00
4.02839e+03,2.93178e+17,2.96848e+19,3.83651e+16,2.30810e+19,4.19543e+16,2.68300e+18,3.25535e+20,1.74633e+17,7.58801e+19,2.66896e+16,1.15368e+16,1,1.36732e-02,3.40000e-01,1.40304e-02,0.00000e+00
3.92700e+03,2.92844e+17,2.99919e+19,3.91741e+16,2.33400e+19,4.30440e+16,2.71817e+18,3.34187e+20,1.71991e+17,7.80560e+19,2.70626e+16,1.15731e+16,1,1.46498e-02,3.40000e-01,1.50071e-02,0.00000e+00
3.83206e+03,2.92153e+17,3.02996e+19,4.00328e+16,2.36028e+19,4.42369e+16,2.75438e+18,3.44078e+20,1.68872e+17,8.05579e+19,2.74223e+16,1.15903e+16,1,1.56265e-02,3.40000e-01,1.59837e-02,0.00000e+00
3.73712e+03,2.91461e+17,3.06072e+19,4.08916e+16,2.38656e+19,4.54297e+16,2.79060e+18,3.53969e+20,1.65752e+17,8.30599e+19,2.77821e+16,1.16074e+16,1,1.66032e-02,3.40000e-01,1.69604e-02,0.00000e+00
3.64208e+03,2.90749e+17,3.09141e+19,4.17512e+16,2.41281e+19,4.66273e+16,2.82678e+18,3.63953e+20,1.62610e+17,8.55867e+19,2.81387e+16,1.16231e+16,1,1.75798e-02,3.40000e-01,1.79370e-02,0.00000e+00
3.54383e+03,2.89345e+17,3.11951e+19,4.26398e+16,2.43834e+19,4.79802e+16,2.86183e+18,3.77044e+20,1.58746e+17,8.89433e+19,2.83924e+16,1.15883e+16,1,1.85565e-02,3.40000e-01,1.89137e-02,0.00000e+00
3.44557e+03,2.87942e+17,3.14760e+19,4.35284e+16,2.46386e+19,4.93331e+16,2.89687e+18,3.90135e+20,1.54882e+17,9.22999e+19,2.86460e+16,1.15535e+16,1,1.95331e-02,3.40000e-01,1.98903e-02,0.00000e+00
3.34731e+03,2.86538e+17,3.17570e+19,4.44171e+16,2.48938e+19,5.06860e+16,2.93192e+18,4.03226e+20,1.51018e+17,9.56565e+19,2.88996e+16,1.15188e+16,1,2.05098e-02,3.40000e-01,2.08670e-02,0.00000e+00
3.24534e+03,2.84286e+17,3.19567e+19,4.52198e+16,2.50986e+19,5.20603e+16,2.95949e+18,4.18990e+20,1.46593e+17,9.97493e+19,2.89809e+16,1.14333e+16,1,2.14864e-02,3.40000e-01,2.18436e-02,0.00000e+00
3.14234e+03,2.81799e+17,3.21340e+19,4.59988e+16,2.52894e+19,5.34405e+16,2.98499e+18,4.35493e+20,1.42013e+17,1.04045e+20,2.90145e+16,1.13338e+16,1,2.24631e-02,3.40000e-01,2.28203e-02,0.00000e+00
3.03935e+03,2.79313e+17,3.23113e+19,4.67778e+16,2.54802e+19,5.48207e+16,3.01049e+18,4.51995e+20,1.37433e+17,1.08342e+20,2.90482e+16,1.12343e+16,1,2.34398e-02,3.40000e-01,2.37970e-02,0.00000e+00
2.95861e+03,2.76447e+17,3.24363e+19,4.75086e+16,2.56458e+19,5.62869e+16,3.02981e+18,4.72855e+20,1.32619e+17,1.13813e+20,2.89152e+16,1.11182e+16,1,2.44164e-02,3.40000e-01,2.47736e-02,0.00000e+00
2.88190e+03,2.73513e+17,3.25518e+19,4.82307e+16,2.58069e+19,5.77685e+16,3.04803e+18,4.94501e+20,1.27763e+17,1.19496e+20,2.87522e+16,1.09991e+16,1,2.53931e-02,3.40000e-01,2.57503e-02,0.00000e+00
2.80483e+03,2.70102e+17,3.26056e+19,4.88638e+16,2.59233e+19,5.91841e+16,3.05948e+18,5.16913e+20,1.22692e+17,1.25405e+20,2.84981e+16,1.08651e+16,1,2.63697e-02,3.40000e-01,2.67269e-02,0.00000e+00
2.72670e+03,2.65217e+17,3.24683e+19,4.92216e+16,2.59014e+19,6.03953e+16,3.05002e+18,5.41693e+20,1.16953e+17,1.32015e+20,2.79622e+16,1.06853e+16,1,2.73464e-02,3.40000e-01,2.77036e-02,0.00000e+00
2.64857e+03,2.60333e+17,3.23310e+19,4.95793e+16,2.58795e+19,6.16065e+16,3.04057e+18,5.66473e+20,1.11215e+17,1.38624e+20,2.74264e+16,1.05055e+16,1,2.83230e-02,3.40000e-01,2.86802e-02,0.00000e+00
2.57922e+03,2.54265e+17,3.20116e+19,4.96953e+16,2.57264e+19,6.26721e+16,3.00811e+18,5.95543e+20,1.04961e+17,1.46446e+20,2.66211e+16,1.03156e+16,1,2.92997e-02,3.40000e-01,2.96569e-02,0.00000e+00
2.51048e+03,2.48115e+17,3.16796e+19,4.97946e+16,2.55642e+19,6.37277e+16,2.97406e+18,6.24910e+20,9.86711e+16,1.54352e+20,2.57971e+16,1.01250e+16,1,3.02763e-02,3.40000e-01,3.06336e-02,0.00000e+00
2.43861e+03,2.40936e+17,3.11683e+19,4.96856e+16,2.52670e+19,6.46553e+16,2.91581e+18,6.58370e+20,9.18992e+16,1.63421e+20,2.47561e+16,9.94000e+15,1,3.12530e-02,3.40000e-01,3.16102e-02,0.00000e+00
2.36626e+03,2.33600e+17,3.06298e+19,4.95450e+16,2.49494e+19,6.55633e+16,2.85387e+18,6.92451e+20,8.50538e+16,1.72665e+20,2.36821e+16,9.75589e+15,1,3.22297e-02,3.40000e-01,3.25869e-02,0.00000e+00
2.29909e+03,2.24744e+17,2.98206e+19,4.91013e+16,2.44163e+19,6.62140e+16,2.75619e+18,7.29543e+20,7.74990e+16,1.82825e+20,2.23640e+16,9.56554e+15,1,3.32063e-02,3.40000e-01,3.35635e-02,0.00000e+00
2.22928e+03,2.15775e+17,2.89710e+19,4.86369e+16,2.38496e+19,6.68720e+16,2.65130e+18,7.68308e+20,6.98653e+16,1.93450e+20,2.10186e+16,9.38229e+15,1,3.41830e-02,3.40000e-01,3.45402e-02,0.00000e+00
2.15303e+03,2.06531e+17,2.80224e+19,4.81219e+16,2.32003e+19,6.75475e+16,2.52871e+18,8.11177e+20,6.20385e+16,2.05215e+20,1.96066e+16,9.21646e+15,1,3.51596e-02,3.40000e-01,3.55168e-02,0.00000e+00
2.09154e+03,1.96444e+17,2.68847e+19,4.73912e+16,2.23889e+19,6.79753e+16,2.38002e+18,8.54895e+20,5.39548e+16,2.17291e+20,1.80965e+16,9.02564e+15,1,3.61363e-02,3.40000e-01,3.64935e-02,0.00000e+00
2.03648e+03,1.86162e+17,2.56616e+19,4.65846e+16,2.15011e+19,6.83235e+16,2.21685e+18,9.00713e+20,4.58660e+16,2.29967e+20,1.65599e+16,8.82769e+15,1,3.71129e-02,3.40000e-01,3.74701e-02,0.00000e+00
1.98186e+03,1.76471e+17,2.44209e+19,4.58355e+16,2.05872e+19,6.87652e+16,2.04166e+18,9.52747e+20,3.81500e+16,2.44320e+20,1.50775e+16,8.64231e+15,1,3.80896e-02,3.40000e-01,3.84468e-02,0.00000e+00
1.82816e+03,1.58099e+17,2.19171e+19,4.23281e+16,1.85767e+19,6.48643e+16,1.75238e+18,9.57062e+20,3.00532e+16,2.46471e+20,1.29326e+16,7.92098e+15,1,3.90662e-02,3.40000e-01,3.94235e-02,0.00000e+00
1.65268e+03,1.37819e+17,1.91356e+19,3.82143e+16,1.63251e+19,6.00086e+16,1.43800e+18,9.50886e+20,2.18726e+16,2.45940e+20,1.06421e+16,7.08182e+15,1,4.00429e-02,3.40000e-01,4.04001e-02,0.00000e+00
1.48945e+03,1.19353e+17,1.65935e+19,3.39385e+16,1.42498e+19,5.44813e+16,1.16614e+18,9.50402e+20,1.60649e+16,2.46823e+20,8.67254e+15,6.19550e+15,1,4.10196e-02,3.40000e-01,4.13768e-02,0.00000e+00
1.32984e+03,1.01422e+17,1.41221e+19,2.96148e+16,1.22264e+19,4.87557e+16,9.06835e+17,9.51600e+20,1.09582e+16,2.48123e+20,6.79784e+15,5.29523e+15,1,4.19962e-02,3.40000e-01,4.23534e-02,0.00000e+00
1.19137e+03,8.49469e+16,1.18352e+19,2.54255e+16,1.03445e+19,4.28523e+16,6.86150e+17,9.52713e+20,7.03883e+15,2.49308e+20,5.19347e+15,4.43687e+15,1,4.29729e-02,3.40000e-01,4.33301e-02,0.00000e+00
1.08956e+03,7.09965e+16,9.86806e+18,2.14689e+16,8.70801e+18,3.66404e+16,5.32423e+17,9.53680e+20,5.17823e+15,2.50293e+20,4.05782e+15,3.65116e+15,1,4.39495e-02,3.40000e-01,4.43067e-02,0.00000e+00
9.87750e+02,5.70462e+16,7.90095e+18,1.75123e+16,7.07148e+18,3.04286e+16,3.78696e+17,9.54647e+20,3.31763e+15,2.51278e+20,2.92217e+15,2.86546e+15,1,4.49262e-02,3.40000e-01,4.52834e-02,0.00000e+00
8.85938e+02,4.30957e+16,5.93384e+18,1.35557e+16,5.43494e+18,2.42167e+16,2.24969e+17,9.55615e+20,1.45701e+15,2.52263e+20,1.78651e+15,2.07974e+15,1,4.59028e-02,3.40000e-01,4.62601e-02,0.00000e+00
8.25818e+02,3.58900e+16,4.97421e+18,1.13173e+16,4.57263e+18,2.02308e+16,1.83378e+17,9.56134e+20,1.16664e+15,2.52702e+20,1.45720e+15,1.71799e+15,1,4.68795e-02,3.40000e-01,4.72367e-02,0.00000e+00
7.66250e+02,2.87736e+16,4.02794e+18,9.10170e+15,3.72059e+18,1.62744e+16,1.43274e+17,9.56647e+20,8.97068e+14,2.53135e+20,1.13858e+15,1.36186e+15,1,4.78562e-02,3.40000e-01,4.82134e-02,0.00000e+00
7.06682e+02,2.16572e+16,3.08166e+18,6.88608e+15,2.86854e+18,1.23180e+16,1.03169e+17,9.57161e+20,6.27500e+14,2.53567e+20,8.19960e+14,1.00572e+15,1,4.88328e-02,3.40000e-01,4.91900e-02,0.00000e+00
6.47115e+02,1.45409e+16,2.13539e+18,4.67045e+15,2.01649e+18,8.36157e+15,6.30646e+16,9.57674e+20,3.57932e+14,2.53999e+20,5.01338e+14,6.49591e+14,1,4.98095e-02,3.40000e-01,5.01667e-02,0.00000e+00
5.88147e+02,7.55274e+15,1.20566e+18,2.49436e+15,1.17910e+18,4.47567e+15,2.37346e+16,9.58179e+20,9.37524e+13,2.54424e+20,1.88866e+14,3.00082e+14,1,5.07861e-02,3.40000e-01,5.11433e-02,0.00000e+00
5.57144e+02,6.54386e+15,1.04742e+18,2.16202e+15,1.02517e+18,3.87824e+15,2.05207e+16,9.58277e+20,8.08833e+13,2.54488e+20,1.63180e+14,2.59526e+14,1,5.17628e-02,3.40000e-01,5.21200e-02,0.00000e+00
5.26142e+02,5.53497e+15,8.89195e+17,1.82968e+15,8.71234e+17,3.28081e+15,1.73068e+16,9.58375e+20,6.80142e+13,2.54551e+20,1.37495e+14,2.18970e+14,1,5.27394e-02,3.40000e-01,5.30966e-02,0.00000e+00
4.95139e+02,4.52609e+15,7.30965e+17,1.49734e+15,7.17300e+17,2.68338e+15,1.40929e+16,9.58474e+20,5.51451e+13,2.54615e+20,1.11810e+14,1.78414e+14,1,5.37161e-02,3.40000e-01,5.40733e-02,0.00000e+00
4.64136e+02,3.51721e+15,5.72734e+17,1.16499e+15,5.63366e+17,2.08595e+15,1.08791e+16,9.58572e+20,4.22760e+13,2.54679e+20,8.61251e+13,1.37858e+14,1,5.46927e-02,3.40000e-01,5.50500e-02,0.00000e+00
4.33134e+02,2.50833e+15,4.14504e+17,8.32652e+14,4.09432e+17,1.48852e+15,7.66520e+15,9.58670e+20,2.94069e+13,2.54742e+20,6.04399e+13,9.73026e+13,1,5.56694e-02,3.40000e-01,5.60266e-02,0.00000e+00
4.02131e+02,1.49945e+15,2.56274e+17,5.00310e+14,2.55498e+17,8.91087e+14,4.45133e+15,9.58768e+20,1.65378e+13,2.54806e+20,3.47548e+13,5.67467e+13,1,5.66461e-02,3.40000e-01,5.70033e-02,0.00000e+00
