# solver_fvmcc_F90::
# Nonequilibrium flo
# Primitive variable
#               "xc"                 "u"                 "v"                 "T"                "Te"                 "p"               "rho"                "h0"                "Mf"                 x_N                 x_O                x_NO                x_N2                x_O2               rho_N               rho_O              rho_NO              rho_N2              rho_O2
   0.1000000400E+001   -0.5556867459E-003    0.2947468692E+001    0.5199045617E+003    0.5879567845E+003    0.2255472346E+005    0.1294046169E+000    0.3591186326E+007    0.1105230484E-005    0.5098312374E-001    0.2284198120E+000    0.2230421521E-001    0.6477151670E+000    0.5057768209E-001    0.3725988408E-002    0.1906850730E-001    0.3492012024E-002    0.9467364989E-001    0.8444459274E-002
   0.1000001200E+001   -0.8482909038E-003    0.8532563693E+001    0.5552899410E+003    0.6602666134E+003    0.2255474645E+005    0.1211462981E+000    0.3634073861E+007    0.1632460098E-005    0.5099524511E-001    0.2285729783E+000    0.2229724478E-001    0.6476778814E+000    0.5045665044E-001    0.3489385934E-002    0.1786537264E-001    0.3268468092E-002    0.8863563984E-001    0.7887431566E-002
   0.1000001950E+001   -0.9648174107E-003    0.1354434515E+002    0.5855420753E+003    0.7101959912E+003    0.2255475134E+005    0.1148694098E+000    0.3672319700E+007    0.1807932633E-005    0.5101422392E-001    0.2288084175E+000    0.2228595598E-001    0.6476204333E+000    0.5027096929E-001    0.3310338458E-002    0.1695980999E-001    0.3098033497E-002    0.8404882647E-001    0.7452401414E-002
   0.1000002700E+001   -0.1048744920E-002    0.1835973566E+002    0.6136367170E+003    0.7504223540E+003    0.2255475193E+005    0.1095893280E+000    0.3708864931E+007    0.1919461600E-005    0.5103780293E-001    0.2290970899E+000    0.2227155322E-001    0.6475498641E+000    0.5004368984E-001    0.3160238556E-002    0.1620374271E-001    0.2954283220E-002    0.8019201180E-001    0.7079051722E-002
   0.1000003500E+001   -0.1134728443E-002    0.2333916540E+002    0.6417721255E+003    0.7874110492E+003    0.2255475162E+005    0.1047601745E+000    0.3746494614E+007    0.2030503512E-005    0.5106757178E-001    0.2294534258E+000    0.2225301073E-001    0.6474625823E+000    0.4976340936E-001    0.3023455537E-002    0.1551746570E-001    0.2822415061E-002    0.7666604311E-001    0.6730795105E-002
   0.1000004350E+001   -0.1229805000E-002    0.2846991215E+002    0.6699986476E+003    0.8218338598E+003    0.2255475095E+005    0.1003191545E+000    0.3785105346E+007    0.2153417523E-005    0.5110288189E-001    0.2298671246E+000    0.2223064228E-001    0.6473610501E+000    0.4943830117E-001    0.2898082082E-002    0.1489052541E-001    0.2700791295E-002    0.7342464418E-001    0.6405111485E-002
   0.1000005200E+001   -0.1331960512E-002    0.3346560497E+002    0.6968031625E+003    0.8528979549E+003    0.2255475051E+005    0.9643163362E-001    0.3822572477E+007    0.2286580561E-005    0.5114158794E-001    0.2303107577E+000    0.2220571408E-001    0.6472519413E+000    0.4908999898E-001    0.2788709670E-002    0.1434535128E-001    0.2593985612E-002    0.7058825587E-001    0.6115331188E-002
   0.1000006000E+001   -0.1436692290E-002    0.3804525288E+002    0.7209130785E+003    0.8795456536E+003    0.2255474968E+005    0.9317969562E-001    0.3856814146E+007    0.2424350741E-005    0.5118014899E-001    0.2307442045E+000    0.2218056022E-001    0.6471451225E+000    0.4874996380E-001    0.2697477510E-002    0.1389168599E-001    0.2504393241E-002    0.6821626933E-001    0.5869869545E-002
   0.1000006850E+001   -0.1555708293E-002    0.4279303520E+002    0.7454985356E+003    0.9056895294E+003    0.2255474871E+005    0.9007834957E-001    0.3892217683E+007    0.2581034174E-005    0.5122298339E-001    0.2312166302E+000    0.2215230224E-001    0.6470284533E+000    0.4837963086E-001    0.2610701672E-002    0.1346106169E-001    0.2418716523E-002    0.6595470053E-001    0.5633169162E-002
   0.1000007700E+001   -0.1683660087E-002    0.4743824895E+002    0.7691683486E+003    0.9301609748E+003    0.2255474815E+005    0.8727810650E-001    0.3926778299E+007    0.2749453467E-005    0.5126773251E-001    0.2317002656E+000    0.2212245036E-001    0.6469087297E+000    0.4800082177E-001    0.2532572383E-002    0.1307411070E-001    0.2341125588E-002    0.6391322974E-001    0.5417068090E-002
   0.1000008550E+001   -0.1820279682E-002    0.5197697503E+002    0.7920025064E+003    0.9530605558E+003    0.2255474700E+005    0.8473408908E-001    0.3960470495E+007    0.2928803654E-005    0.5131372881E-001    0.2321881218E+000    0.2209150038E-001    0.6467876736E+000    0.4761897539E-001    0.2461762536E-002    0.1272390598E-001    0.2270447800E-002    0.6205893433E-001    0.5219038433E-002
   0.1000009450E+001   -0.1973229343E-002    0.5668382188E+002    0.8153844040E+003    0.9759847785E+003    0.2255474624E+005    0.8227545064E-001    0.3995343561E+007    0.3128371708E-005    0.5136389430E-001    0.2327094711E+000    0.2205745677E-001    0.6466579498E+000    0.4721122810E-001    0.2393506813E-002    0.1238678652E-001    0.2201942057E-002    0.6026724530E-001    0.5025969947E-002
   0.1000010300E+001   -0.2127304788E-002    0.6104187480E+002    0.8367903760E+003    0.9965574824E+003    0.2255474563E+005    0.8014406884E-001    0.4027575979E+007    0.3328545561E-005    0.5141248891E-001    0.2332042609E+000    0.2202423709E-001    0.6465344699E+000    0.4682454325E-001    0.2334484879E-002    0.1209558247E-001    0.2142382614E-002    0.5871433091E-001    0.4857287962E-002
   0.1000011150E+001   -0.2290685797E-002    0.6531354916E+002    0.8575802521E+003    0.1016136866E+004    0.2255474430E+005    0.7817514407E-001    0.4059115347E+007    0.3539748565E-005    0.5146191010E-001    0.2336980048E+000    0.2199026327E-001    0.6464108942E+000    0.4643892767E-001    0.2280080695E-002    0.1182734295E-001    0.2087221165E-002    0.5727999595E-001    0.4700503319E-002
