# solver_fvmcc_F90::
# Nonequilibrium flo
# Primitive variable
#               "xc"                 "u"                 "v"                 "T"                "Te"                 "p"               "rho"                "h0"                "Mf"                 x_N                 x_O                x_NO                x_N2                x_O2               rho_N               rho_O              rho_NO              rho_N2              rho_O2
   0.1000060000E+001   -0.3659202682E+000    0.3017196511E+004    0.7931326435E+004    0.7931226686E+004    0.2264566008E+005    0.5036108143E-002    0.4045462117E+008    0.1339591962E-003    0.7700457524E+000    0.2133084382E+000    0.1837645008E-003    0.1646024439E-001    0.1800504576E-005    0.3703879665E-002    0.1171969324E-002    0.1893545231E-005    0.1583458237E-003    0.1978483502E-007
   0.1000180000E+001   -0.1091612425E+001    0.3032643671E+004    0.7931126039E+004    0.7931032060E+004    0.2264563368E+005    0.5036259865E-002    0.4045382534E+008    0.3996333112E-003    0.7700383881E+000    0.2133096765E+000    0.1838119172E-003    0.1646632263E-001    0.1800883480E-005    0.3703933510E-002    0.1172004373E-002    0.1894079467E-005    0.1584081135E-003    0.1978947555E-007
   0.1000300000E+001   -0.1820932967E+001    0.3049639786E+004    0.7930988264E+004    0.7930908588E+004    0.2264560205E+005    0.5036360645E-002    0.4045329116E+008    0.6666410481E-003    0.7700334554E+000    0.2133105063E+000    0.1838432660E-003    0.1647039398E-001    0.1801131847E-005    0.3703968953E-002    0.1172027655E-002    0.1894432762E-005    0.1584498115E-003    0.1979252096E-007
   0.1000420000E+001   -0.2554067350E+001    0.3066638436E+004    0.7930890992E+004    0.7930839368E+004    0.2264556772E+005    0.5036428129E-002    0.4045293707E+008    0.9350478383E-003    0.7700302152E+000    0.2133110519E+000    0.1838631416E-003    0.1647306845E-001    0.1801285498E-005    0.3703993181E-002    0.1172043251E-002    0.1894657937E-005    0.1584772442E-003    0.1979442219E-007
   0.1000540000E+001   -0.3291001528E+001    0.3083545360E+004    0.7930810274E+004    0.7930805755E+004    0.2264553081E+005    0.5036480912E-002    0.4045267371E+008    0.1204848138E-002    0.7700278515E+000    0.2133114508E+000    0.1838766326E-003    0.1647501968E-001    0.1801384227E-005    0.3704013472E-002    0.1172055462E-002    0.1894813154E-005    0.1584973705E-003    0.1979567634E-007
   0.1000660000E+001   -0.4031710985E+001    0.3100372265E+004    0.7930734645E+004    0.7930802053E+004    0.2264549124E+005    0.5036527688E-002    0.4045246234E+008    0.1476033116E-002    0.7700260176E+000    0.2133117615E+000    0.1838857696E-003    0.1647653376E-001    0.1801443209E-005    0.3704033501E-002    0.1172066298E-002    0.1894922069E-005    0.1585131713E-003    0.1979647869E-007
   0.1000780000E+001   -0.4776173634E+001    0.3117131772E+004    0.7930657651E+004    0.7930827995E+004    0.2264544897E+005    0.5036573180E-002    0.4045228479E+008    0.1748595079E-002    0.7700245586E+000    0.2133120101E+000    0.1838913269E-003    0.1647773857E-001    0.1801467458E-005    0.3704055529E-002    0.1172076855E-002    0.1894994196E-005    0.1585260054E-003    0.1979690042E-007
   0.1000900000E+001   -0.5524369454E+001    0.3133833247E+004    0.7930574773E+004    0.7930885608E+004    0.2264540394E+005    0.5036620566E-002    0.4045213114E+008    0.2022527288E-002    0.7700233964E+000    0.2133122099E+000    0.1838935680E-003    0.1647869863E-001    0.1801457829E-005    0.3704081282E-002    0.1172087871E-002    0.1895033326E-005    0.1585365833E-003    0.1979696211E-007
   0.1001020000E+001   -0.6276279782E+001    0.3150483806E+004    0.7930482362E+004    0.7930978095E+004    0.2264535609E+005    0.5036672323E-002    0.4045199529E+008    0.2297823690E-002    0.7700224894E+000    0.2133123683E+000    0.1838925102E-003    0.1647944843E-001    0.1801413137E-005    0.3704112254E-002    0.1172099922E-002    0.1895040503E-005    0.1585453093E-003    0.1979665983E-007
   0.1001140000E+001   -0.7031886821E+001    0.3167089048E+004    0.7930377205E+004    0.7931109361E+004    0.2264530538E+005    0.5036730571E-002    0.4045187325E+008    0.2574478732E-002    0.7700218153E+000    0.2133124891E+000    0.1838880331E-003    0.1648000619E-001    0.1801331051E-005    0.3704149833E-002    0.1172113503E-002    0.1895015250E-005    0.1585524227E-003    0.1979597591E-007
   0.1001260000E+001   -0.7791173316E+001    0.3183653512E+004    0.7930256329E+004    0.7931283771E+004    0.2264525177E+005    0.5036797231E-002    0.4045176224E+008    0.2852487242E-002    0.7700213641E+000    0.2133125743E+000    0.1838799329E-003    0.1648038046E-001    0.1801208526E-005    0.3704195353E-002    0.1172129062E-002    0.1894956173E-005    0.1585580649E-003    0.1979488426E-007
   0.1001380000E+001   -0.8554122308E+001    0.3200180959E+004    0.7930116893E+004    0.7931506017E+004    0.2264519520E+005    0.5036874109E-002    0.4045166024E+008    0.3131844335E-002    0.7700211327E+000    0.2133126247E+000    0.1838679511E-003    0.1648057367E-001    0.1801042048E-005    0.3704250118E-002    0.1172147021E-002    0.1894861278E-005    0.1585623156E-003    0.1979335328E-007
